carrington_rotation,year_week,moodulation_potentional,k0_au2/s,tilt_angle,year,month,day
1642,1976.4071038,434,1.33700806451613E-05,6.8,1976,5,27
1643,1976.4795081,426,1.36813028169014E-05,6.2,1976,6,23
1644,1976.557377,412,1.42550242718447E-05,6.8,1976,7,21
1645,1976.6297814,408,1.44261764705882E-05,4,1976,8,17
1646,1976.7021857,407,1.44694901719902E-05,6.7,1976,9,13
1647,1976.7800546,408,1.44261764705882E-05,7.9,1976,10,11
1648,1976.852459,404,1.46007178217822E-05,7.1,1976,11,7
1649,1976.9275956,411,0.0000142975,7.4,1976,12,4
1650,1977.0013661,411,0.0000142975,6.6,1976,12,31
1651,1977.0767123,421,1.388182304038E-05,7.7,1977,1,28
1652,1977.1490867,417,1.40457014388489E-05,4.4,1977,2,24
1653,1977.2296803,419,1.39633711217184E-05,8.6,1977,3,23
1654,1977.3020547,416,1.40871634615385E-05,13.7,1977,4,19
1655,1977.3799086,417,1.40457014388489E-05,14,1977,5,17
1656,1977.4522831,442,1.30701244343891E-05,15.5,1977,6,13
1657,1977.5273972,487,1.15664938398357E-05,11.8,1977,7,10
1658,1977.6025114,476,1.19077941176471E-05,10,1977,8,7
1659,1977.6748858,475,1.19396052631579E-05,12.5,1977,9,3
1660,1977.7488584,475,1.19396052631579E-05,12.3,1977,9,30
1661,1977.8239726,438,1.32187328767123E-05,12.4,1977,10,27
1662,1977.8990867,408,1.44261764705882E-05,16.3,1977,11,24
1663,1977.9742009,418,1.40044377990431E-05,15.7,1977,12,21
1664,1978.0465753,478,1.18445711297071E-05,26.7,1978,1,17
1665,1978.1189497,496,1.12985080645161E-05,36.1,1978,2,13
1666,1978.2022831,510,1.09004411764706E-05,32.7,1978,3,13
1667,1978.2746575,588,9.02964285714286E-06,26.5,1978,4,9
1668,1978.3497716,669,7.54862107623318E-06,30.4,1978,5,6
1669,1978.4248858,602,8.74517441860465E-06,24.5,1978,6,3
1670,1978.4988584,602,8.74517441860465E-06,27.1,1978,6,30
1671,1978.5739726,591,8.96755076142132E-06,26.4,1978,7,27
1672,1978.646347,495,1.1327803030303E-05,34.1,1978,8,23
1673,1978.7214611,495,1.1327803030303E-05,51.3,1978,9,20
1674,1978.7965753,566,9.50509717314488E-06,46.5,1978,10,17
1675,1978.8689497,528,1.04196590909091E-05,43.9,1978,11,13
1676,1978.9440639,530,1.03682547169811E-05,45.3,1978,12,10
1677,1979.019178,584,9.11342465753425E-06,47.5,1979,1,7
1678,1979.0915525,609,8.60784482758621E-06,59.2,1979,2,3
1679,1979.1721461,653,7.8120482388974E-06,55.2,1979,3,2
1680,1979.2488584,653,7.8120482388974E-06,65.4,1979,3,30
1681,1979.3212328,738,6.54343495934959E-06,67.6,1979,4,26
1682,1979.396347,706,6.98517705382436E-06,62.5,1979,5,23
1683,1979.4687214,812,5.65525862068966E-06,66.3,1979,6,19
1684,1979.5465753,799,5.79937734668335E-06,71.5,1979,7,17
1685,1979.6189497,906,4.7362417218543E-06,62,1979,8,13
1686,1979.6913242,860,5.16087209302326E-06,70.6,1979,9,9
1687,1979.769178,778,6.04235861182519E-06,73.8,1979,10,7
1688,1979.8415525,774,6.09013565891473E-06,70.9,1979,11,3
1689,1979.9155251,774,8.70019379844961E-05,69.1,1979,11,30
1690,1979.9906392,688,0.000103595930232558,72,1979,12,27
1691,1980.0655737,716,9.77555865921788E-05,65.1,1980,1,24
1692,1980.1379781,743,9.25407133243607E-05,69.8,1980,2,20
1693,1980.2158469,686,0.000104031341107872,64.8,1980,3,18
1694,1980.2882513,762,8.90925196850394E-05,50.4,1980,4,14
1695,1980.3661202,757,8.99831571994716E-05,41,1980,5,12
1696,1980.4385245,886,7.02206546275395E-05,31.2,1980,6,8
1697,1980.5136612,885,7.03516949152543E-05,44,1980,7,5
1698,1980.5887978,855,7.44254385964912E-05,48.5,1980,8,2
1699,1980.6625683,855,7.44254385964912E-05,42.7,1980,8,29
1700,1980.7349726,866,7.289896073903E-05,44.2,1980,9,25
1701,1980.8101092,960,0.00006128125,47.3,1980,10,22
1702,1980.8852459,1052,5.1921102661597E-05,47.3,1980,11,19
1703,1980.9603825,1038,5.32384393063584E-05,37.3,1980,12,16
1704,1981.0328767,878,7.12773348519362E-05,40,1981,1,12
1705,1981.1052511,968,6.0396694214876E-05,50,1981,2,8
1706,1981.1885844,995,5.75163316582915E-05,49.7,1981,3,8
1707,1981.2609589,1055,5.164336492891E-05,54.6,1981,4,4
1708,1981.336073,1124,4.5664590747331E-05,47.6,1981,5,1
1709,1981.4127853,1124,4.5664590747331E-05,42.2,1981,5,29
1710,1981.4851598,967,6.05064632885212E-05,44.4,1981,6,25
1711,1981.5602739,930,6.47338709677419E-05,36.9,1981,7,22
1712,1981.6326484,923,6.55717768147346E-05,31.1,1981,8,18
1713,1981.7077625,871,7.22178530424799E-05,35,1981,9,15
1714,1981.7828767,1046,5.24813575525813E-05,33.3,1981,10,12
1715,1981.8552511,1010,5.59826732673267E-05,27.2,1981,11,8
1716,1981.933105,886,7.02206546275395E-05,28,1981,12,6
1717,1982.0054794,813,8.06337638376384E-05,29.8,1982,1,2
1718,1982.079452,813,8.06337638376384E-05,37.3,1982,1,29
1719,1982.1518264,982,5.88834012219959E-05,31.4,1982,2,25
1720,1982.2351598,828,7.83442028985507E-05,38.9,1982,3,25
1721,1982.3075342,798,8.30093984962406E-05,41.5,1982,4,21
1722,1982.3826484,758,8.98040897097625E-05,44.9,1982,5,18
1723,1982.4550228,1009,5.60834985133796E-05,48.9,1982,6,14
1724,1982.5328767,1258,3.59272655007949E-05,47.8,1982,7,12
1725,1982.6052511,1240,3.71129032258065E-05,49.1,1982,8,8
1726,1982.6776255,1422,2.65073839662447E-05,46.7,1982,9,4
1727,1982.7554794,1222,3.83334697217676E-05,34.7,1982,10,2
1728,1982.829452,1222,3.83334697217676E-05,28.2,1982,10,29
1729,1982.9018264,1150,4.35978260869565E-05,24.3,1982,11,25
1730,1982.9769406,1256,3.60573248407643E-05,26.1,1982,12,22
